MATR_ALUNO,ANO,MEDIA_FINAL,SITUACAO,COD_ATIV_CURRIC,FREQUENCIA,SIGLA
47,2019,83,Aprovado,CI163,"76,6666666666667",Aprovado
47,2019,55,Aprovado,CI061,"76,6666666666667",Aprovado
47,2019,72,Aprovado,CI215,"83,3333333333333",Aprovado
47,2019,100,Aprovado,CI204,"86,6666666666667",Aprovado
47,2019,75,Aprovado,CI165,100,Aprovado
47,2019,9999,Equivalência de Disciplina,CM202,100,Equivale
47,2019,63,Aprovado,CI221,80,Aprovado
47,2019,9999,Cancelado,CI316,100,Cancelado
47,2019,100,Aprovado,CI220,"93,3333333333333",Aprovado
47,2019,71,Aprovado,CI302,"76,6666666666667",Aprovado
47,2020,9999,Cancelado,CI1211,100,Cancelado
47,2020,9999,Cancelado,CI1059,100,Cancelado
47,2020,9999,Matrícula,CI1012,100,Matricula
47,2020,9999,Matrícula,CI1211,100,Matricula
47,2020,9999,Matrícula,SA214,100,Matricula
47,2020,9999,Matrícula,CI1010,100,Matricula
47,2020,9999,Matrícula,CI1080,100,Matricula
48,2016,22,R-nota,CI055,"83,3333333333333",Reprovado
48,2016,50,Aprovado,CM201,100,Aprovado
48,2016,29,R-nota,CI068,"93,3333333333333",Reprovado
48,2016,20,R-nota,CM045,100,Reprovado
48,2016,8,R-nota,CM046,"86,6666666666667",Reprovado
48,2016,91,Aprovado,CI055,"86,6666666666667",Aprovado
48,2016,9999,Cancelado,CM202,100,Cancelado
48,2016,89,Aprovado,CI068,100,Aprovado
48,2016,50,Aprovado,CM045,100,Aprovado
48,2017,22,R-nota,CI056,"96,6666666666667",Reprovado
48,2017,50,Aprovado,CM046,"93,3333333333333",Aprovado
48,2017,0,R-nota,CI166,"76,6666666666667",Reprovado
48,2017,84,Aprovado,CI210,100,Aprovado
48,2017,9999,Cancelado,CM005,100,Cancelado
48,2017,50,Aprovado,CI056,"83,3333333333333",Aprovado
48,2017,10,R-nota,CM202,100,Reprovado
48,2017,15,R-nota,CI067,"76,6666666666667",Reprovado
48,2017,38,R-nota,CI212,"83,3333333333333",Reprovado
48,2018,19,R-nota,CM005,100,Reprovado
48,2018,54,Aprovado,CI057,"93,3333333333333",Aprovado
48,2018,7,R-nota,CM202,75,Reprovado
48,2018,85,Aprovado,CI067,"93,3333333333333",Aprovado
48,2018,70,Aprovado,CI212,"83,3333333333333",Aprovado
48,2018,9,R-nota,CM005,"96,6666666666667",Reprovado
48,2018,18,R-nota,CI237,"76,6666666666667",Reprovado
48,2018,70,Aprovado,CI166,90,Aprovado
48,2018,68,Aprovado,CI064,100,Aprovado
48,2019,9999,Equivalência de Disciplina,CI1055,100,Equivale
48,2019,9999,Equivalência de Disciplina,CI1056,100,Equivale
